date,hca_close_last,jnj_close_last,lly_close_last,unh_close_last,ISRG_CLOSE
9/1/2023,$280.81 ,$160.48 ,$557.11 ,$476.24 ,$310.41 
6/1/2023,$267.87 ,$154.54 ,$436.49 ,$493.63 ,$310.54 
3/1/2023,$244.30 ,$152.57 ,$314.17 ,$475.22 ,$227.33 
12/1/2022,$238.47 ,$178.74 ,$370.33 ,$536.91 ,$274.49 
9/1/2022,$199.45 ,$165.34 ,$309.13 ,$524.00 ,$206.11 
6/1/2022,$206.95 ,$177.71 ,$311.08 ,$492.55 ,$216.39 
3/1/2022,$252.42 ,$164.00 ,$249.50 ,$476.25 ,$291.55 
12/1/2021,$225.61 ,$158.08 ,$249.13 ,$444.34 ,$319.93 
9/1/2021,$252.66 ,$173.74 ,$257.40 ,$417.35 ,$354.24 
6/1/2021,$215.87 ,$165.53 ,$198.42 ,$406.72 ,$278.68 
3/1/2021,$175.46 ,$159.32 ,$206.47 ,$334.65 ,$253.07 
12/1/2020,$151.91 ,$147.45 ,$145.56 ,$341.19 ,$244.55 
9/1/2020,$134.20 ,$151.52 ,$147.30 ,$312.83 ,$247.19 
6/1/2020,$108.83 ,$147.19 ,$152.45 ,$305.93 ,$191.53 
3/1/2019,$138.47 ,$138.35 ,$128.84 ,$246.15 ,$186.18 
,,,,,
,102.7948292,15.99566317,332.4045328,93.47552306,66.72574927
