date,sHELL_close_last,eXXON_close_last,cvx_close_last,cop_close_last,HES_Close
9/1/2023,$62.85 ,$113.52 ,$164.30 ,$122.14 ,$157.20 
6/1/2023,$57.09 ,$103.36 ,$152.16 ,$99.53 ,$129.05 
3/1/2023,$61.94 ,$110.89 ,$162.05 ,$106.25 ,$137.86 
12/1/2022,$58.05 ,$110.80 ,$182.49 ,$123.06 ,$143.37 
9/1/2022,$52.40 ,$93.87 ,$155.54 ,$107.53 ,$116.45 
6/1/2022,$59.73 ,$97.84 ,$176.32 ,$115.75 ,$127.45 
3/1/2022,$51.77 ,$79.17 ,$149.72 ,$96.96 ,$101.40 
12/1/2021,$41.59 ,$59.79 ,$112.10 ,$69.20 ,$72.86 
9/1/2021,$39.60 ,$53.77 ,$95.71 ,$54.65 ,$68.81 
6/1/2021,$39.59 ,$60.46 ,$106.65 ,$58.27 ,$87.77 
3/1/2021,$41.01 ,$56.40 ,$102.05 ,$52.61 ,$65.53 
12/1/2020,$35.06 ,$38.50 ,$87.45 ,$39.27 ,$47.76 
9/1/2020,$29.20 ,$39.43 ,$83.08 ,$37.16 ,$45.94 
6/1/2020,$33.18 ,$46.28 ,$92.79 ,$43.39 ,$48.70 
3/1/2019,$62.32 ,$80.00 ,$122.03 ,$68.93 ,$59.23 
,,,,,
,85.04%,4190.00%,3463.90%,7719.43%,16540.60%
