date,visa_close_last,j_close_last,AXP_close,PNC_CLOSE,pypl_stock
9/1/2023,$248.11 ,$146.82 ,$159.62 ,$122.22 ,$63.57 
6/1/2023,$226.50 ,$137.58 ,$162.72 ,$119.74 ,$63.05 
3/1/2023,$218.36 ,$142.55 ,$175.91 ,$155.21 ,$73.82 
12/1/2022,$217.00 ,$136.24 ,$157.50 ,$164.80 ,$78.53 
9/1/2022,$200.13 ,$114.51 ,$151.11 ,$158.45 ,$92.66 
6/1/2022,$209.93 ,$129.91 ,$165.76 ,$172.44 ,$82.48 
3/1/2022,$208.97 ,$136.45 ,$178.06 ,$187.19 ,$106.51 
12/1/2021,$190.16 ,$157.89 ,$150.06 ,$195.45 ,$179.32 
9/1/2021,$230.12 ,$159.72 ,$164.44 ,$189.48 ,$286.75 
6/1/2021,$226.63 ,$166.05 ,$163.76 ,$195.82 ,$259.27 
3/1/2021,$216.63 ,$150.50 ,$138.71 ,$173.07 ,$273.63 
12/1/2020,$211.20 ,$119.74 ,$119.93 ,$140.72 ,$216.54 
9/1/2020,$213.35 ,$100.14 ,$102.47 ,$111.60 ,$208.93 
6/1/2020,$194.35 ,$98.60 ,$96.75 ,$114.67 ,$154.53 
3/1/2019,$149.47 ,$104.43 ,$108.90 ,$126.62 ,$98.80 
,,,,,
,65.99317589,40.59178397,46.5748393,-3.474964461,-35.65789474
